messages,metadata
"[{'role': 'user', 'content': 'I accidentally placed two identical orders. How do I cancel one and get a refund?'}
 {'role': 'assistant', 'content': ""No worries, happens more than you'd think. Can you share both order numbers? I'll cancel the duplicate right now. If it hasn't shipped yet the refund is instant. If it already left the warehouse, I'll arrange a free return pickup instead. Either way, you'll get the full amount back.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'You withheld the shipping cost even though the item arrived defective. Will you refund the full amount?'}
 {'role': 'assistant', 'content': ""You're right — when an item arrives defective, we cover everything including shipping. I see the original shipping charge wasn't included in your refund, and that shouldn't have happened. I'm adding it now. You'll see the additional credit within 2–3 business days. Sorry about the oversight.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Do you accept returns after 30 days of use?'}
 {'role': 'assistant', 'content': ""Our standard return window is 30 days from delivery. If you're just past that, share your order number and I'll see what I can do — we have some flexibility depending on the situation. Beyond that window, we can usually offer store credit or an exchange even if a cash refund isn't possible. What's the item and when did you receive it?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'The wrong item was sent with my order; how quickly can you do a replacement?'}
 {'role': 'assistant', 'content': ""That's on us, sorry about that. Send me your order number and a quick photo of what you received so I can flag it in our system. I'll get the correct item shipped out today or tomorrow with express delivery at no extra cost. You'll also get a prepaid label to return the wrong item — no rush on sending it back, just whenever convenient.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""How can I disable automatic subscription renewal? I don't want money taken every month.""}
 {'role': 'assistant', 'content': ""Go to Account → Subscriptions → Manage, and toggle off 'Auto-renew'. You'll keep full access until the current billing period ends. Once I walk you through it, no more charges. Want me to stay here while you do it in case anything looks different on your screen?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Can I temporarily pause my subscription for one month and then resume?'}
 {'role': 'assistant', 'content': 'Yes, you can pause for up to three months. Go to Account → Subscriptions → Pause, and pick how long. Billing stops immediately, and your content and settings stay exactly as they are. It resumes automatically on the date you choose. If you end up wanting to come back sooner, you can unpause anytime from the same page.'}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'I want to switch to a cheaper plan. Where can I do that?'}
 {'role': 'assistant', 'content': ""Account → Subscriptions → Change Plan. You'll see all available tiers with a comparison. The lower rate kicks in on your next billing date, and you keep your current plan's features until then. Just so you know, the main differences between plans are listed right on that page so you can see exactly what changes.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'I received a bill for the subscription even though I canceled it a week ago. Why was I charged?'}
 {'role': 'assistant', 'content': ""Let me look into this. I can see your cancellation went through, but it was processed one day after the billing cycle renewed — so the system charged you before the cancellation took effect. I'm issuing a refund for that charge now. It'll be back on your card within 3–5 business days. You won't be billed again going forward.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'How do I update the payment card details for my subscription? The old card expired.'}
 {'role': 'assistant', 'content': ""Go to Account → Billing → Payment Methods. Click 'Update' next to the current card, enter the new details, and save. Takes about 30 seconds. If your renewal date is coming up in the next couple of days, update it soon so the charge doesn't bounce. Need any help navigating there?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Where can I see the date of the next charge and my payment history?'}
 {'role': 'assistant', 'content': 'Account → Billing. Your next charge date is shown at the top, and the full payment history is listed below with amounts and dates. You can also download receipts from there if you need them for records.'}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Is it possible to buy an annual subscription in advance at a discount?'}
 {'role': 'assistant', 'content': ""Yes — the annual plan saves you about 20% compared to paying monthly. You can switch from Account → Subscriptions → Change Plan and select 'Annual'. The discounted rate kicks in immediately, and you'll be billed once per year from that date. If you're already mid-cycle on a monthly plan, we'll prorate the difference.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I can't log into my account – it says the username or password is incorrect, but I'm sure I'm entering it correctly.""}
 {'role': 'assistant', 'content': ""A few things that catch people off guard: check if caps lock is on, and make sure you're using the same email you registered with — sometimes people have multiple emails and forget which one they used. If you want to rule out a password issue entirely, hit 'Forgot Password' and set a fresh one. If that reset email doesn't come through, tell me the email address you're trying and I'll verify it's in our system.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I forgot my account password, and the reset link isn't arriving in my email. What should I do?""}
 {'role': 'assistant', 'content': ""First, check your spam/junk folder — our emails from noreply@ourdomain.com sometimes land there. Also double-check you're entering the exact email tied to your account (not a different one). If you've done both and it's still not showing up after a few minutes, give me the email address and I'll verify it matches your account and trigger the reset manually from our side.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'The site keeps logging me out and asking me to sign in again.'}
 {'role': 'assistant', 'content': ""That's usually a browser cookie issue. Try clearing your cookies and cache for our site specifically, then log in again. If you're using a privacy-focused browser or extension (like auto-delete cookies), that might be the culprit. Also check that your browser is up to date. If none of that helps, let me know which browser and device you're on and I'll dig deeper.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'How do I change the email address linked to my account?'}
 {'role': 'assistant', 'content': ""Account → Settings → Edit Email. Enter the new address, and we'll send a verification link to it. Click that link to confirm, and the switch is done. Your old email stops working for login once the new one is verified. If you no longer have access to your current email, let me know and I'll walk you through identity verification so we can update it manually.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'After several login attempts I got a message that my account is locked. How do I unlock it?'}
 {'role': 'assistant', 'content': ""The lock is a security precaution — it lifts automatically after 30 minutes. If you don't want to wait, use the 'Forgot Password' link right now: resetting your password also unlocks the account immediately. If you suspect someone else was trying to get into your account, let me know and I'll run a security check on recent login attempts.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""Registration didn't complete: it says 'account already exists'. How do I regain access?""}
 {'role': 'assistant', 'content': ""Sounds like you (or someone) registered with that email before. Try 'Forgot Password' with that email — if an account exists, you'll get a reset link and can get back in. If the reset email never arrives, it's possible the account was created with a typo of someone else's email. In that case, just register with a different email or contact me and I'll sort it out on the backend.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""Why aren't two-factor authentication codes being sent to my phone?""}
 {'role': 'assistant', 'content': ""A few things to check: make sure you have cell signal (2FA codes go via SMS, not internet), check that your phone number in account settings is still correct, and make sure your messages inbox isn't full. If all that looks fine, I can resend the code from our side or temporarily switch you to email-based 2FA so you can get in. What would you prefer?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""There's a hidden fee on my bill that wasn't on the site. Where did this charge come from?""}
 {'role': 'assistant', 'content': ""I want to clear this up — can you share your order number or a screenshot of the charge? The most common causes are sales tax (which gets calculated at checkout based on your location) or a shipping surcharge for oversized items. But I don't want to guess; let me look at your specific order and tell you exactly what the charge is and whether it's correct.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'My card was charged twice for the same order. How can I get the extra payment back?'}
 {'role': 'assistant', 'content': ""Let me check your order. I can see two charges — one is likely an authorization hold that should drop off automatically, but if it's been more than 48 hours and both are still showing as posted, that's a real duplicate. Share your order number and I'll verify which scenario it is. If it's a true double charge, I'll process the refund right now.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'The amount on my final invoice is higher than what was shown during checkout. Please check.'}
 {'role': 'assistant', 'content': ""That shouldn't happen — let me look into it. Can you share your order number? I'll compare the checkout total against the final invoice line by line. If there's a discrepancy, I'll correct it and send you a revised invoice. If it turns out to be tax or a promo code that didn't apply correctly, I'll explain exactly what happened.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'I want to change the payment method from a bank card to PayPal. How do I do that?'}
 {'role': 'assistant', 'content': ""Go to Account → Billing → Payment Methods → Add Payment Method, and choose PayPal. You'll be redirected to log into your PayPal account to authorize it. Once linked, set it as your default method. Your next order or renewal will charge PayPal instead of the card. Takes about a minute.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""My payment won't go through: the system says there's an error, but there are funds on the card.""}
 {'role': 'assistant', 'content': ""A few things to try: make sure the billing address matches exactly what your bank has on file (even small differences can cause declines), check that the card isn't expired, and try again in a few minutes in case it was a temporary gateway issue. If none of that works, try a different card or PayPal. If the error keeps happening, give me the last four digits of the card and the error message, and I can check our payment logs for the specific reason.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Can I get an invoice for my company with the required details?'}
 {'role': 'assistant', 'content': ""Yes. At checkout, select 'Business Purchase' and enter your company name, tax ID, and billing address. The system will generate a proper invoice automatically. If you already placed the order as a personal purchase, send me the order number along with your company details and I'll regenerate the invoice for you.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'The mobile app keeps crashing on startup. Is there a solution?'}
 {'role': 'assistant', 'content': ""Let's try the basics first: force-close the app, then reopen it. If that doesn't help, uninstall and reinstall — this clears any corrupted cache. Also make sure your phone's OS is up to date, since older versions sometimes conflict with recent app updates. If it's still crashing after a fresh install, tell me your device model and OS version so I can check if there's a known issue.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I can't update the app: a download error appears. How do I install the update?""}
 {'role': 'assistant', 'content': ""Try these in order: check that you have enough storage space on your phone, switch to a stable Wi-Fi connection, then clear the app store cache (on Android: Settings → Apps → Google Play Store → Clear Cache; on iOS: just sign out and back into the App Store). If the download still fails, delete the app entirely and reinstall it fresh — you'll get the latest version automatically. Your account data won't be lost.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""The 'Submit' button isn't responding, so I can't complete the order.""}
 {'role': 'assistant', 'content': ""That's annoying, sorry. First try: refresh the page and click Submit again. If nothing happens, open the checkout in a different browser or in an incognito window — sometimes a browser extension blocks the button. If you're on mobile, try switching from the app to the website or vice versa. If you're still stuck, tell me what you're trying to order and I can place it for you manually so you don't lose the items in your cart.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'After the latest update the app freezes and nothing loads.'}
 {'role': 'assistant', 'content': ""We've gotten a few reports about this — the team is working on a patch. In the meantime, try clearing the app data (Settings → Apps → [our app] → Clear Data on Android, or delete and reinstall on iOS). If you need to access your account before the fix rolls out, the mobile website at our URL works fine as a workaround. I don't have an exact ETA on the patch, but it's being treated as a priority.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""The payment form on the website freezes at the confirmation step, and I can't complete my purchase.""}
 {'role': 'assistant', 'content': ""This can happen if the page loses connection to the payment gateway mid-transaction. Try a hard refresh (Ctrl+Shift+R or Cmd+Shift+R), then go through checkout again. Use a different browser if it freezes a second time. Important: check your email and bank statement before retrying — sometimes the payment actually went through even though the page froze, and I don't want you to be charged twice. If you see a charge, tell me and I'll confirm whether the order was placed.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""When uploading a profile photo it says 'unknown error'. What should I do?""}
 {'role': 'assistant', 'content': ""Usually this means the file is too large or in an unsupported format. Keep it under 5MB, and use JPEG or PNG. If your photo is already within those limits, try resizing it down a bit — sometimes it's a server timeout on larger files even under the limit. Also try a different browser. If it still fails, send me the image and I'll upload it to your profile from our end.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I want to talk to a real manager, not a bot. I've been going back and forth for a week with no resolution.""}
 {'role': 'assistant', 'content': ""I hear you, and I'm sorry this has been dragging on for a week — that's not okay. Let me pull up your previous conversations so I can see the full picture before escalating. Can you share your order number or the ticket reference? I'll connect you with a senior support lead who has the authority to resolve this, and I'll include a summary of everything so far so you don't have to repeat yourself.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Your product broke after two uses. This is unacceptable quality. I want a full refund AND compensation.'}
 {'role': 'assistant', 'content': ""I completely understand your frustration — a product shouldn't break after two uses. I'll process a full refund including shipping right away. Regarding compensation, I can offer you a 20% discount code on your next order, or I can send a replacement at no charge — whichever feels right to you. Can you share your order number and a photo of the damage? That also helps our quality team flag the issue with the manufacturer.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I already explained this problem in my last three emails and nobody helped. Why should I trust you'll fix it this time?""}
 {'role': 'assistant', 'content': ""That's a fair question, and I'm sorry for the runaround. I'm going to look at your full ticket history right now so I know exactly what's happened. Rather than giving you another generic promise, here's what I'll do: I'll reply to this conversation within two hours with a concrete resolution or a clear explanation of what's blocking it and who's handling it. Can you give me your email or ticket number so I can pull everything up?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I think my account was hacked — there are orders I didn't place and my email was changed.""}
 {'role': 'assistant', 'content': ""This is urgent, so let me act fast. I'm temporarily locking your account right now to prevent further unauthorized activity. I need to verify your identity — can you confirm the original email address, your name, and the last order you personally placed? Once verified, I'll reverse the email change, cancel any fraudulent orders, and help you set a new password with two-factor authentication enabled. If any charges went through, we'll refund them.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I'm a business customer and need to set up recurring bulk orders with net-30 payment terms. Who handles that?""}
 {'role': 'assistant', 'content': ""That's handled by our B2B sales team. I can connect you directly — what's the best email and phone number to reach you? In the meantime, it helps if you can share roughly what products you need and the expected order volume so they come prepared. Typical setup takes 2–3 business days once you're in touch with them.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I placed an order while logged out by accident and now I can't see it in my account. Can you link it?""}
 {'role': 'assistant', 'content': ""Yes, I can merge a guest order into your account. I need your order confirmation number (check your email for the confirmation) and the email address on your account. Once I match them up, the order will appear in your order history and you'll be able to track it, return items, and everything else from there.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I used a promo code at checkout but the discount wasn't applied. Can you fix this?""}
 {'role': 'assistant', 'content': ""Let me check that for you. Share the promo code and your order number. Common reasons it might not have applied: the code expired, there was a minimum order requirement, or it excluded certain items. If the code was valid and should have worked, I'll apply the discount manually and send you an updated confirmation. If it was expired, I'll see if there's a current promotion I can apply instead.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I need to cancel my order but the website says it's already being processed. Is it too late?""}
 {'role': 'assistant', 'content': ""Not necessarily — 'processing' usually means we're preparing it but it hasn't shipped yet. Let me check your order status right now. If it's still in the warehouse, I'll cancel it immediately and you'll get a full refund. If it's already on the truck, I'll arrange a free return pickup instead. What's your order number?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I'm moving abroad next month. Can I keep using my subscription from another country?""}
 {'role': 'assistant', 'content': ""Your subscription works internationally — you can log in and use it from anywhere. Two things to be aware of: your billing will continue in the original currency unless you contact us to change it, and some region-specific content or shipping perks may differ depending on where you are. Once you've moved, update your address in account settings and let us know your new country so we can adjust anything that needs it.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Do you have a student discount or any program for students?'}
 {'role': 'assistant', 'content': ""We offer a 15% student discount. To get it, verify your student status through our partner SheerID — there's a link on our pricing page under 'Student Discount'. Verification takes a couple of minutes and is valid for one year, after which you can re-verify. The discount applies to all plans, including annual.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'The delivery driver left my package outside in the rain and everything is soaked. What now?'}
 {'role': 'assistant', 'content': ""That's awful, I'm sorry. This counts as shipping damage, so you're fully covered. Take a couple of photos of the wet packaging and the affected items — send them to me here or via email. I'll process a replacement or full refund right away, your choice. No need to return the damaged goods. I'll also flag this with the carrier so it doesn't happen again at your address.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""I'm contacting you for the third time and still no one has fixed this. My refund was promised last week and I still don't have it.""}
 {'role': 'assistant', 'content': ""You're right to be upset, and I'm sorry you've had to chase this multiple times. I've reviewed the case and I can see the refund was approved but never completed. I'm escalating it to our billing lead right now instead of sending you through another generic queue. You should receive a final update from us within one business day. If the refund still hasn't posted by then, I'll stay on the case personally until it's resolved.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Can you refund this item after six months of use? It stopped being useful for me.'}
 {'role': 'assistant', 'content': ""I understand why you're asking, but we wouldn't be able to issue a refund after six months of normal use. Our refund policy covers returns within 30 days of delivery unless the item is defective under warranty. If there's a fault with the product, tell me what's going wrong and I'll check whether a repair, replacement, or warranty claim applies. If it's just no longer needed, the best we can usually offer is a discount on a future purchase.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'I ordered three items but only two were in the box. Am I getting the missing one separately or should I be refunded?'}
 {'role': 'assistant', 'content': ""Thanks for flagging that. Let me check whether the missing item was split into a separate shipment or if it was omitted by mistake. Share your order number and, if possible, a quick photo of what arrived in the box. If the third item is coming separately, I'll send you the tracking details. If it wasn't shipped, I can either send the missing item right away or refund that part of the order, whichever you prefer.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'My order arrived damaged. Do you need photos before you can send a replacement?'}
 {'role': 'assistant', 'content': ""Yes, please send 1-2 clear photos of the damaged item and the packaging. That helps us document the issue with the carrier and speeds up approval on our side. Once I have the photos, I can usually arrange a replacement the same day. If you'd rather not wait for a replacement, I can also issue a refund instead. We won't ask you to pay return shipping for damaged goods.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'My promo code worked on the product page but disappeared at checkout. Why did that happen?'}
 {'role': 'assistant', 'content': ""That usually means one of three things: the code only applies to specific items, there was a minimum spend requirement, or it couldn't be combined with another discount already in your cart. Send me the promo code and the items you were trying to buy, and I'll check the exact rule. If the code should have applied, I'll honor it manually so you don't have to start over.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""Why can't I cancel my subscription from your website? I signed up through the App Store.""}
 {'role': 'assistant', 'content': 'That explains it. Subscriptions started through the App Store have to be managed through Apple, not our website, because Apple handles the billing directly. On your iPhone, go to Settings -> your name -> Subscriptions, select our app, and cancel from there. If you want, I can stay with you while you go through the steps. Once Apple confirms the cancellation, your access will continue until the end of the paid period.'}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
