instruction,context,response,category
Do you offer gift wrapping services?,"Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.Yes, you can add a gift message during the checkout process. There is usually a section where you can enter your personalized message.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.","Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",closed_qa
What is your price matching policy?,"We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.,closed_qa
Can I order by phone?,"Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.We do not currently offer custom orders or personalized products. Please explore the available products on our website.We accept major credit cards, debit cards, and PayPal as payment methods for online orders.","Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.",closed_qa
Are my personal and payment details secure?,"Yes, we take the security of your personal and payment details seriously. We use industry-standard encryption and follow strict security protocols to ensure your information is protected.","Yes, we take the security of your personal and payment details seriously. We use industry-standard encryption and follow strict security protocols to ensure your information is protected.",closed_qa
What is your price adjustment policy?,"If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.","If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",closed_qa
Do you have a loyalty program?,"Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.","Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.",closed_qa
Can I order without creating an account?,"Yes, you can place an order as a guest without creating an account. However, creating an account offers benefits such as order tracking and easier future purchases.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.To create an account, click on the 'Sign Up' button on the top right corner of our website and follow the instructions to complete the registration process.Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.","Yes, you can place an order as a guest without creating an account. However, creating an account offers benefits such as order tracking and easier future purchases.",closed_qa
Do you offer bulk or wholesale discounts?,"Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.Hello I am a shopping assistant, I can answer questions and help you find productsYes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.","Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.",closed_qa
Can I change or cancel an item in my order?,"If you need to change or cancel an item in your order, please contact our customer support team as soon as possible. We will assist you with the necessary steps.You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.","If you need to change or cancel an item in your order, please contact our customer support team as soon as possible. We will assist you with the necessary steps.",closed_qa
How can I leave a product review?,"To leave a product review, navigate to the product page on our website and click on the 'Write a Review' button. You can share your feedback and rating based on your experience with the product.","To leave a product review, navigate to the product page on our website and click on the 'Write a Review' button. You can share your feedback and rating based on your experience with the product.",closed_qa
Can I use multiple promo codes on a single order?,"Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.If your discount code is not working, please double-check the terms and conditions associated with the code. If the issue persists, contact our customer support team for assistance.Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.","Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.",closed_qa
What should I do if I receive the wrong item?,"If you receive the wrong item in your order, please contact our customer support team immediately. We will arrange for the correct item to be shipped to you and assist with returning the wrong item.If you need to change or cancel an item in your order, please contact our customer support team as soon as possible. We will assist you with the necessary steps.If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement.If your product was damaged during shipping, please contact our customer support team immediately. We will guide you through the return and replacement process.If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue.While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance.You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.If you receive a damaged product, please contact our customer support team immediately. We will assist you with the necessary steps for repair or replacement.","If you receive the wrong item in your order, please contact our customer support team immediately. We will arrange for the correct item to be shipped to you and assist with returning the wrong item.",closed_qa
Do you offer expedited shipping?,"Yes, we offer expedited shipping options for faster delivery. During the checkout process, you can select the desired expedited shipping method.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.Yes, we offer international shipping to select countries. The availability and shipping costs will be calculated during the checkout process based on your location.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.","Yes, we offer expedited shipping options for faster delivery. During the checkout process, you can select the desired expedited shipping method.",closed_qa
Can I order a product that is out of stock?,"If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications.If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.","If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.",closed_qa
What is your email newsletter about?,"Our email newsletter provides updates on new product releases, exclusive offers, and helpful tips related to our products. You can subscribe to our newsletter on our website.","Our email newsletter provides updates on new product releases, exclusive offers, and helpful tips related to our products. You can subscribe to our newsletter on our website.",closed_qa
Do you offer live chat support?,"Yes, we offer live chat support on our website during our business hours. Look for the chat icon in the bottom right corner to initiate a chat with our customer support team.","Yes, we offer live chat support on our website during our business hours. Look for the chat icon in the bottom right corner to initiate a chat with our customer support team.",closed_qa
Can I order a product as a gift?,"Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.","Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.",closed_qa
What should I do if my discount code is not working?,"If your discount code is not working, please double-check the terms and conditions associated with the code. If the issue persists, contact our customer support team for assistance.Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.","If your discount code is not working, please double-check the terms and conditions associated with the code. If the issue persists, contact our customer support team for assistance.",closed_qa
Can I return a product if it was a final sale item?,"Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.",Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.,closed_qa
Do you offer installation services for your products?,Installation services are available for select products. Please check the product description or contact our customer support team for more information and to request installation services.,Installation services are available for select products. Please check the product description or contact our customer support team for more information and to request installation services.,closed_qa
Can I order a product that is discontinued?,"Unfortunately, if a product is listed as 'discontinued,' it is no longer available for purchase. We recommend exploring alternative products on our website.Discontinued products are no longer available for purchase. We recommend exploring alternative products on our website.If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.'Limited edition' products may have restricted availability. We recommend placing an order as soon as possible to secure your item.",Discontinued products are no longer available for purchase. We recommend exploring alternative products on our website.,closed_qa
Can I return a product without a receipt?,"While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance.A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.",A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.,closed_qa
Can I order a product for delivery to a different country?,"Yes, we offer international shipping to select countries. The availability and shipping costs will be calculated during the checkout process based on your location.Yes, we offer international shipping to select countries. Please review the available shipping destinations during checkout or contact our customer support for assistance.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, we offer expedited shipping options for faster delivery. During the checkout process, you can select the desired expedited shipping method.","Yes, we offer international shipping to select countries. Please review the available shipping destinations during checkout or contact our customer support for assistance.",closed_qa
Can I add a gift message to my order?,"Yes, you can add a gift message during the checkout process. There is usually a section where you can enter your personalized message.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.We do not currently offer custom orders or personalized products. Please explore the available products on our website.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.","Yes, you can add a gift message during the checkout process. There is usually a section where you can enter your personalized message.",closed_qa
Can I request a product demonstration before making a purchase?,"We do not currently offer product demonstrations before purchase. However, you can find detailed product descriptions, specifications, and customer reviews on our website.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.","We do not currently offer product demonstrations before purchase. However, you can find detailed product descriptions, specifications, and customer reviews on our website.",closed_qa
Can I order a product that is listed as 'coming soon'?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.",Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,closed_qa
Can I request an invoice for my order?,"Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.We do not currently offer custom orders or personalized products. Please explore the available products on our website.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.","Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details.",closed_qa
Can I order a product that is labeled as 'limited edition'?,"'Limited edition' products may have restricted availability. We recommend placing an order as soon as possible to secure your item.If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available.We do not currently offer custom orders or personalized products. Please explore the available products on our website.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.Unfortunately, if a product is listed as 'discontinued,' it is no longer available for purchase. We recommend exploring alternative products on our website.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.",'Limited edition' products may have restricted availability. We recommend placing an order as soon as possible to secure your item.,closed_qa
Can I return a product if I no longer have the original packaging?,"While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.","While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.",closed_qa
Can I request a product that is currently out of stock to be reserved for me?,"If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications.Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.",closed_qa
